;local;nr_nota;item_nota;produto;qtd;unidade;preço;data;hora;pagamento
41;IRMAOS MUFFATO E CIA LTDA;311069;21;SAC LIX PRO CAS 10UN;1,0000;Un;2,99;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
42;IRMAOS MUFFATO E CIA LTDA;311069;22;MACARRA TODESCH 500g;1,0000;Un;3,29;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
43;IRMAOS MUFFATO E CIA LTDA;311069;23;DETERG YPE 500ML;1,0000;Un;1,89;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
44;IRMAOS MUFFATO E CIA LTDA;311069;24;WAFFLE FORNO M 210g;1,0000;Un;5,29;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
45;IRMAOS MUFFATO E CIA LTDA;311069;25;MAION GOURMET 500G;1,0000;Un;4,59;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
46;IRMAOS MUFFATO E CIA LTDA;311069;26;SEL STELLA LEG 200g;1,0000;Un;2,44;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
47;IRMAOS MUFFATO E CIA LTDA;311069;27;CR DENT SORRISO 90G;1,0000;Un;3,29;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
48;IRMAOS MUFFATO E CIA LTDA;311069;28;CR DENT SORRISO 90G;1,0000;Un;3,29;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
49;IRMAOS MUFFATO E CIA LTDA;311069;29;CR DENT SORRISO 90G;1,0000;Un;3,29;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
50;IRMAOS MUFFATO E CIA LTDA;311069;30;CR LTE ITAMBE 200G;1,0000;Un;2,49;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
51;IRMAOS MUFFATO E CIA LTDA;311069;31;CR LTE ITAMBE 200G;1,0000;Un;2,49;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
52;IRMAOS MUFFATO E CIA LTDA;311069;32;QUEIJO VIGOR 50g;1,0000;Un;3,69;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
53;IRMAOS MUFFATO E CIA LTDA;311069;33;BROC SABOR CAM 300g;1,0000;Un;5,98;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
54;IRMAOS MUFFATO E CIA LTDA;311069;34;KIT SAB LUX 4x85G;1,0000;Un;5,39;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
55;IRMAOS MUFFATO E CIA LTDA;311069;35;BISC TRAKINAS 126G;1,0000;Un;2,19;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
56;IRMAOS MUFFATO E CIA LTDA;311069;36;CHA LEAO FUZE BOLDO;1,0000;Un;3,04;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
57;IRMAOS MUFFATO E CIA LTDA;311069;37;QUEROS DA ILH 900ML;1,0000;Un;10,14;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
58;IRMAOS MUFFATO E CIA LTDA;311069;38;EMPANAD SEARA 100g;1,0000;Un;1,54;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
59;IRMAOS MUFFATO E CIA LTDA;311069;39;EMPANAD SEARA 100g;1,0000;Un;1,54;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
60;IRMAOS MUFFATO E CIA LTDA;311069;40;EMPANAD SEARA 100g;1,0000;Un;1,54;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
61;IRMAOS MUFFATO E CIA LTDA;311069;41;EMPANAD SEARA 100g;1,0000;Un;1,54;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
62;IRMAOS MUFFATO E CIA LTDA;311069;42;FILE SEARA 1kg;1,0000;Un;13,89;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
63;IRMAOS MUFFATO E CIA LTDA;311069;43;CHA LEAO PET 1 5 L;1,0000;Un;4,69;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
